,varied_parameter,level,sublevel,number_low,number_high,baseline_value,unit,variation,new_value_low,new_value_high,start,end,run_id_low,run_id_high,total_erosion_low[m],total_erosion_high[m],rnte_low[-],rnte_high[-],volume_start_low[m2],volume_end_low[m2],volume_change_low[m2],volume_loss_low[m2],volume_start_high[m2],volume_end_high[m2],volume_change_high[m2],volume_loss_high[m2],erosion_diff[m],volume_change_diff[m2],volume_change_total[m2]
40,Sea temperature,2.0,thermodynamics,13.0,14.0,0,-,+-2,-2,+2,01/01/2017,01/01/2018,sa_lvl2_13,sa_lvl2_14,4.0,6.0,1.0,1.5,520.833327601287,502.0107068888942,-18.82262071239279,18.82262071239279,520.833327601287,499.3032451522941,-21.53008244899297,21.53008244899297,2.0,2.7074617366001803,2.7074617366001803
37,Convective heat flux,2.0,thermodynamics,7.0,8.0,1,-,+-10%,*0.8,*1.2,01/01/2017,01/01/2018,sa_lvl2_7,sa_lvl2_8,6.0,6.0,1.5,1.5,520.833327601287,500.111912733086,-20.72141486820101,20.72141486820101,520.833327601287,499.1181381829117,-21.715189418375303,21.715189418375303,0.0,0.9937745501742938,3.071277341568475
11,Surface flux factor,1.0,model,23.0,24.0,1,-,+-20%,0.8,1.2,01/01/2017,01/01/2018,sa_lvl1_23,sa_lvl1_24,6.0,4.0,1.5,1.0,520.833327601287,500.1585848500572,-20.67474275122981,20.67474275122981,520.833327601287,499.0265130789826,-21.80681452230442,21.80681452230442,2.0,1.1320717710746102,3.1162303285263953
30,Density water,1.0,physical,61.0,62.0,1000,kg/m3,+-20%,800,1200,01/01/2017,01/01/2018,sa_lvl1_61,sa_lvl1_62,6.0,4.0,1.5,1.0,520.833327601287,498.369882176168,-22.463445425119065,22.463445425119065,520.833327601287,501.4968604210867,-19.33646718020032,19.33646718020032,2.0,3.126978244918746,3.126978244918746
22,Longshore transport gradient,1.0,physical,45.0,46.0,0,1/m,+-0.01,-0.01,0.01,01/01/2017,01/01/2018,sa_lvl1_45,sa_lvl1_46,6.0,6.0,1.5,1.5,520.833327601287,498.9063934197702,-21.9269341815168,21.9269341815168,520.833327601287,500.1549205205015,-20.67840708078552,20.67840708078552,0.0,1.2485271007312804,3.240014317294481
39,Shortwave heat flux,2.0,thermodynamics,11.0,12.0,1,-,+-10%,*0.8,*1.2,01/01/2017,01/01/2018,sa_lvl2_11,sa_lvl2_12,4.0,6.0,1.0,1.5,520.833327601287,501.6946106551404,-19.138716946146587,19.138716946146587,520.833327601287,498.403205048746,-22.43012255254098,22.43012255254098,2.0,3.2914056063943917,3.2914056063943917
24,Ice content,1.0,physical,49.0,50.0,0.65,-,+-20%,0.52,0.78,01/01/2017,01/01/2018,sa_lvl1_49,sa_lvl1_50,6.0,6.0,1.5,1.5,520.833327601287,499.4537163359098,-21.379611265377207,21.379611265377207,520.833327601287,499.5538228110668,-21.279504790220244,21.279504790220244,0.0,0.10010647515696292,3.293789110589614
2,Beach width,1.0,bathymetry,5.0,6.0,12.5,m,+-20%,10,15,01/01/2017,01/01/2018,sa_lvl1_5,sa_lvl1_6,6.0,4.0,1.5,1.0,520.8333335359591,499.4695739276797,-21.36375960827945,21.36375960827945,520.8333333921203,502.9560400599594,-17.87729333216089,17.87729333216089,2.0,3.4864662761185627,3.4864662761185627
28,Thermal conductivity (unfrozen soil),1.0,physical,57.0,58.0,0.6,W/m/K,+-20%,0.48,0.72,01/01/2017,01/01/2018,sa_lvl1_57,sa_lvl1_58,6.0,6.0,1.5,1.5,520.833327601287,499.19095112576224,-21.64237647552477,21.64237647552477,520.833327601287,499.25620899457954,-21.577118606707472,21.577118606707472,0.0,0.065257868817298,3.8541681372244057
25,Volumetric heat capacity (frozen soil),1.0,physical,51.0,52.0,4600000,J/K/m3,+-20%,3680000,5520000,01/01/2017,01/01/2018,sa_lvl1_51,sa_lvl1_52,6.0,6.0,1.5,1.5,520.833327601287,498.7610603307569,-22.07226727053012,22.07226727053012,520.833327601287,499.5971757436948,-21.236151857592176,21.236151857592176,0.0,0.8361154129379429,3.9430921831144587
42,Latent heat flux,2.0,thermodynamics,17.0,18.0,1,-,+-10%,*0.8,*1.2,01/01/2017,01/01/2018,sa_lvl2_17,sa_lvl2_18,6.0,6.0,1.5,1.5,520.833327601287,498.9469628589943,-21.8863647422927,21.8863647422927,520.833327601287,499.0525388440201,-21.78078875726692,21.78078875726692,0.0,0.10557598502578003,4.301826554551781
38,Longwave heat flux,2.0,thermodynamics,9.0,10.0,1,-,+-10%,*0.8,*1.2,01/01/2017,01/01/2018,sa_lvl2_9,sa_lvl2_10,6.0,6.0,1.5,1.5,520.833327601287,498.6354760587772,-22.19785154250985,22.19785154250985,520.833327601287,499.1021314278985,-21.731196173388525,21.731196173388525,0.0,0.4666553691213231,4.563720770890537
19,Critical wet slope,1.0,physical,39.0,40.0,0.1,-,+-20%,0.08,0.12,01/01/2017,01/01/2018,sa_lvl1_39,sa_lvl1_40,6.0,6.0,1.5,1.5,520.833327601287,498.4846553994414,-22.3486722018456,22.3486722018456,520.833327601287,499.228406381651,-21.604921219636022,21.604921219636022,0.0,0.7437509822095763,4.588266476473784
34,Water level,2.0,hydrodynamics,1.0,2.0,0,-,+-0.1,-0.1,+0.1,01/01/2017,01/01/2018,sa_lvl2_1,sa_lvl2_2,4.0,6.0,1.0,1.5,520.833327601287,502.5776161845299,-18.25571141675709,18.25571141675709,520.833327601287,497.9688206668159,-22.864506934471137,22.864506934471137,2.0,4.6087955177140465,4.6087955177140465
